SampleID	CollectionDate	Subj_Certainty	Subject	SampleCollectedBy	SampleNotes	ExtractID	ExtractDate	ExtractConc	ExtractedBy	ExtractKit	ExtractBox	ExtractNotes	LibraryCode	LibPrepWorkflow	LibPrepDate	SequenceID	LibraryTube	LibraryBarcode	LibraryConc_QC2	LibraryTotalPoolVol
HDZ-166	2024-05-14	yes	Culi	HDZ Keepers		HDZ-166-E1	2024-07-26	9.1	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		PL009	rapid16s	2024-08-16	HDZ-166-S197	13	16S13		NA
HDZ-167	2023-12-14	yes	Culi	HDZ Keepers		HDZ-167-E1	2024-04-09	75	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL009	rapid16s	2024-08-16	HDZ-167-S198	14	16S14		NA
HDZ-168	2023-12-17	yes	Culi	HDZ Keepers		HDZ-168-E1	2024-04-09	20	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL003	rapid16s	2024-06-12	HDZ-168-S58	12	16S12	1.62	55
HDZ-169	2023-12-18	yes	Culi	HDZ Keepers		HDZ-169-E1	2024-04-09	45	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL011	rapid16s	2024-08-21	HDZ-169-S244	14	16S14		NA
HDZ-170	2023-12-18	yes	Warble	HDZ Keepers		HDZ-170-E1	2024-04-09	46	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL011	rapid16s	2024-08-21	HDZ-170-S245	15	16S15		NA
HDZ-171	2024-06-28	yes	Warble	HDZ Keepers		HDZ-171-E1	2024-08-27	32	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6		PL014	rapid16s	2024-09-06	HDZ-171-S303	4	16S4		NA
HDZ-172	2024-06-29	yes	Warble	HDZ Keepers		HDZ-172-E1	2024-08-27	76	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6		PL014	rapid16s	2024-09-06	HDZ-172-S304	5	16S5		NA
HDZ-173	2023-12-14	yes	Warble	HDZ Keepers		HDZ-173-E1	2024-04-09	53	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL011	rapid16s	2024-08-21	HDZ-173-S246	16	16S16		NA
HDZ-174	2023-12-16	yes	Culi	HDZ Keepers		HDZ-174-E1	2024-04-09	52	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL011	rapid16s	2024-08-21	HDZ-174-S247	17	16S17		NA
HDZ-175	2023-12-13	yes	Culi	HDZ Keepers		HDZ-175-E1	2024-04-15	22	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL003	rapid16s	2024-06-12	HDZ-175-S61	15	16S15	1.89	55
HDZ-176	2023-12-09	yes	Culi	HDZ Keepers		HDZ-176-E1	2024-04-15	7.7	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL003	rapid16s	2024-06-12	HDZ-176-S51	5	16S5	1.13	55
HDZ-177	2023-12-13	yes	Warble	HDZ Keepers		HDZ-177-E1	2024-04-15	4.9	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL003	rapid16s	2024-06-12	HDZ-177-S47	1	16S1	2.68	55
HDZ-178	2024-06-20	yes	Warble	HDZ Keepers		HDZ-178-E1	2024-07-26	60	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		PL009	rapid16s	2024-08-16	HDZ-178-S199	15	16S15		NA
HDZ-179	2023-12-11	yes	Culi	HDZ Keepers		HDZ-179-E1	2024-04-15	32	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL005	rapid16s	2024-07-17	HDZ-179-S98	6	16S6	0.864	61
HDZ-180	2023-12-12	yes	Culi	HDZ Keepers		HDZ-180-E1	2024-04-15	26	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL005	rapid16s	2024-07-17	HDZ-180-S99	7	16S7	1.37	61
HDZ-181	2023-12-10	yes	Culi	HDZ Keepers		HDZ-181-E1	2024-04-15	33	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL004	rapid16s	2024-06-13	HDZ-181-S74	5	16S5	1.43	40
HDZ-182	2023-12-08	yes	Culi	HDZ Keepers		HDZ-182-E1	2024-04-15	13	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL003	rapid16s	2024-06-12	HDZ-182-S52	6	16S6	1.07	55
HDZ-183	2023-12-07	yes	Warble	HDZ Keepers		HDZ-183-E1	2024-04-15	41	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL004	rapid16s	2024-06-13	HDZ-183-S84	15	16S15	3.7	40
HDZ-184	2023-12-07	yes	Culi	HDZ Keepers		HDZ-184-E1	2024-04-15	53	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL011	rapid16s	2024-08-21	HDZ-184-S248	18	16S18		NA
HDZ-186	2023-12-06	yes	Warble	HDZ Keepers		HDZ-186-E1	2024-04-15	33	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL004	rapid16s	2024-06-13	HDZ-186-S73	4	16S4	3.47	40
HDZ-187	2023-12-06	yes	Culi	HDZ Keepers		HDZ-187-E1	2024-04-15	32	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL004	rapid16s	2024-06-13	HDZ-187-S71	2	16S2	2.38	40
HDZ-188	2023-12-05	yes	Warble	HDZ Keepers		HDZ-188-E1	2024-04-15	24	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL003	rapid16s	2024-06-12	HDZ-188-S62	16	16S16	1.77	55
HDZ-189	2024-06-06	yes	Warble	HDZ Keepers		HDZ-189-E1	2024-07-26	68	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		PL009	rapid16s	2024-08-16	HDZ-189-S200	16	16S16		NA
HDZ-190	2024-01-06	yes	Culi	HDZ Keepers		HDZ-190-E1	2024-04-15	20	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL003	rapid16s	2024-06-12	HDZ-190-S59	13	16S13	3.55	55
HDZ-191	2024-01-07	yes	Warble	HDZ Keepers	Tests indicate Warble is not pregnant, no metaboilte evidence of conception	HDZ-191-E1	2024-04-15	18	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL003	rapid16s	2024-06-12	HDZ-191-S56	10	16S10	1.57	55
HDZ-192	2024-01-07	yes	Culi	HDZ Keepers		HDZ-192-E1	2024-04-15	33	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL004	rapid16s	2024-06-13	HDZ-192-S75	6	16S6	3	40
HDZ-193	2024-01-06	yes	Warble	HDZ Keepers		HDZ-193-E1	2024-05-20	26	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL004	rapid16s	2024-06-13	HDZ-193-S70	1	16S1	2.73	40
HDZ-194	2024-02-02	yes	Warble	HDZ Keepers		HDZ-194-E1	2024-05-20	53	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL004	rapid16s	2024-06-13	HDZ-194-S87	18	16S18	1.76	40
HDZ-195	2023-12-09	yes	Warble	HDZ Keepers		HDZ-195-E1	2024-05-20	61	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL009	rapid16s	2024-08-16	HDZ-195-S201	17	16S17		NA
HDZ-196	2024-02-05	yes	Culi	HDZ Keepers		HDZ-196-E1	2024-05-20	33	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL004	rapid16s	2024-06-13	HDZ-196-S76	7	16S7	2.56	40
HDZ-197	2024-02-04	yes	Culi	HDZ Keepers		HDZ-197-E1	2024-05-20	58	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL009	rapid16s	2024-08-16	HDZ-197-S202	18	16S18		NA
HDZ-198	2024-02-08	yes	Culi	HDZ Keepers		HDZ-198-E1	2024-05-20	70	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL004	rapid16s	2024-06-13	HDZ-198-S88	19	16S19	1.98	40
HDZ-199	2024-02-06	yes	Warble	HDZ Keepers		HDZ-199-E1	2024-05-20	52	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL004	rapid16s	2024-06-13	HDZ-199-S86	17	16S17	2.19	40
HDZ-200	2024-02-03	yes	Warble	HDZ Keepers		HDZ-200-E1	2024-05-30	36	SA/ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL005	rapid16s	2024-07-17	HDZ-200-S100	8	16S8	1.9	61
HDZ-201	2024-02-03	yes	Culi	HDZ Keepers		HDZ-201-E1	2024-05-30	100	SA/ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL016	rapid16s	2024-09-20	HDZ-201-E1-S347	2	16S2		NA
HDZ-202	2024-01-27	yes	Culi	HDZ Keepers		HDZ-202-E1	2024-05-30	100	SA/ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL016	rapid16s	2024-09-20	HDZ-202-E1-S348	3	16S3		NA
HDZ-203	2024-01-26	yes	Culi	HDZ Keepers		HDZ-203-E1	2024-06-13	70	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL009	rapid16s	2024-08-16	HDZ-203-S203	19	16S19		NA
HDZ-204	2024-01-29	yes	Culi	HDZ Keepers		HDZ-204-E1	2024-06-13	43	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL011	rapid16s	2024-08-21	HDZ-204-S249	19	16S19		NA
HDZ-205	2024-01-29	yes	Warble	HDZ Keepers		HDZ-205-E1	2024-06-13	21	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL005	rapid16s	2024-07-17	HDZ-205-S101	9	16S9	3.75	61
HDZ-206	2024-01-30	no	Unknown	HDZ Keepers		HDZ-206-E1	2024-06-13	48	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL007	rapid16s	2024-07-22	HDZ-206-S139	1	16S1		NA
HDZ-207	2024-01-27	yes	Warble	HDZ Keepers		HDZ-207-E1	2024-06-13	12	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL005	rapid16s	2024-07-17	HDZ-207-S102	10	16S10	3.36	61
HDZ-208	2024-01-30	yes	Warble	HDZ Keepers		HDZ-208-E1	2024-06-13	11	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL005	rapid16s	2024-07-17	HDZ-208-S103	11	16S11	3.73	61
HDZ-209	2024-01-26	yes	Warble	HDZ Keepers		HDZ-209-E1	2024-06-06	40	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL005	rapid16s	2024-07-17	HDZ-209-S104	12	16S12	1.35	61
HDZ-210	2024-03-14	yes	Warble	HDZ Keepers		HDZ-210-E1	2024-06-06	38	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL005	rapid16s	2024-07-17	HDZ-210-S105	13	16S13	2.07	61
HDZ-211	2024-03-22	yes	Culi	HDZ Keepers		HDZ-211-E1	2024-06-06	24	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL005	rapid16s	2024-07-17	HDZ-211-S106	14	16S14	0.976	61
HDZ-212	2024-03-27	yes	Warble	HDZ Keepers		HDZ-212-E1	2024-06-06	42	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL011	rapid16s	2024-08-21	HDZ-212-S250	20	16S20		NA
HDZ-213	2024-03-31	no	Unknown	HDZ Keepers		HDZ-213-E1	2024-06-14	31	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL005	rapid16s	2024-07-17	HDZ-213-S107	15	16S15	1.34	61
HDZ-214	2024-06-02	yes	Warble	HDZ Keepers		HDZ-214-E1	2024-07-26	43	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		PL011	rapid16s	2024-08-21	HDZ-214-S251	21	16S21		NA
HDZ-215	2024-03-27	yes	Culi	HDZ Keepers		HDZ-215-E1	2024-06-14	11	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL005	rapid16s	2024-07-17	HDZ-215-S108	16	16S16	1.38	61
HDZ-217	2024-03-26	yes	Warble	HDZ Keepers		HDZ-217-E1	2024-05-02	72	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL004	rapid16s	2024-06-13	HDZ-217-S89	20	16S20	1.15	40
HDZ-218	2024-03-21	yes	Warble	HDZ Keepers		HDZ-218-E1	2024-05-02	58	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL009	rapid16s	2024-08-16	HDZ-218-S204	20	16S20		NA
HDZ-219	2024-03-16	yes	Culi	HDZ Keepers		HDZ-219-E1	2024-05-02	37	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL004	rapid16s	2024-06-13	HDZ-219-S81	12	16S12	4.43	40
HDZ-220	2024-03-17	yes	Culi	HDZ Keepers		HDZ-220-E1	2024-05-02	42	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL004	rapid16s	2024-06-13	HDZ-220-S85	16	16S16	1.51	40
HDZ-221	2024-03-14	yes	Culi	HDZ Keepers		HDZ-221-E1	2024-05-02	76	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		PL004	rapid16s	2024-06-13	HDZ-221-S90	21	16S21	1.64	40
HDZ-222	2024-03-02	yes	Culi	HDZ Keepers		HDZ-222-E1	2024-06-06	8.5	SA/ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL005	rapid16s	2024-07-17	HDZ-222-S109	17	16S17	2.03	61
HDZ-223	2024-03-25	yes	Warble	HDZ Keepers		HDZ-223-E1	2024-06-20	77	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL006	rapid16s	2024-07-18	HDZ-223-S122	7	16S7		NA
HDZ-224	2024-03-25	yes	Culi	HDZ Keepers		HDZ-224-E1	2024-06-20	66	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL006	rapid16s	2024-07-18	HDZ-224-S123	8	16S8		NA
HDZ-226	2024-03-30	yes	Culi	HDZ Keepers		HDZ-226-E1	2024-06-20	42	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL006	rapid16s	2024-07-18	HDZ-226-S124	9	16S9		NA
HDZ-227	2024-03-29	yes	Culi	HDZ Keepers		HDZ-227-E1	2024-06-27	44	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL006	rapid16s	2024-07-18	HDZ-227-S128	13	16S13		NA
HDZ-228	2024-03-27	yes	Warble	HDZ Keepers		HDZ-228-E1	2024-06-27	67	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL006	rapid16s	2024-07-18	HDZ-228-S129	14	16S14		NA
HDZ-229	2024-03-21	yes	Culi	HDZ Keepers		HDZ-229-E1	2024-06-27	96	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL006	rapid16s	2024-07-18	HDZ-229-S130	15	16S15		NA
HDZ-230	2024-03-01	yes	Culi	HDZ Keepers		HDZ-230-E1	2024-08-23	28	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 5		PL013	rapid16s	2024-08-30	HDZ-230-S277	1	16S1		NA
HDZ-231	2024-02-29	yes	Culi	HDZ Keepers		HDZ-231-E1	2024-08-23	33	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 5		PL013	rapid16s	2024-08-30	HDZ-231-S278	2	16S2		NA
HDZ-232	2024-02-28	yes	Warble	HDZ Keepers		HDZ-232-E1	2024-08-23	28	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 5		PL013	rapid16s	2024-08-30	HDZ-232-S279	3	16S3		NA
HDZ-233	2024-02-28	yes	Culi	HDZ Keepers		HDZ-233-E1	2024-08-23	35	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 5		PL013	rapid16s	2024-08-30	HDZ-233-S280	4	16S4		NA
HDZ-234	2024-02-07	yes	Warble	HDZ Keepers		HDZ-234-E1	2024-08-23	72	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 5		PL013	rapid16s	2024-08-30	HDZ-234-S281	5	16S5		NA
HDZ-235	2024-02-07	yes	Culi	HDZ Keepers		HDZ-235-E1	2024-08-23	41	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 5		PL013	rapid16s	2024-08-30	HDZ-235-S282	6	16S6		NA
HDZ-236	2024-02-27	yes	Culi	HDZ Keepers		HDZ-236-E1	2024-08-23	49	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 5		PL013	rapid16s	2024-08-30	HDZ-236-S283	7	16S7		NA
HDZ-237	2024-02-08	yes	Warble	HDZ Keepers		HDZ-237-E1	2024-08-26	54	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6		PL014	rapid16s	2024-09-06	HDZ-237-S305	6	16S6		NA
HDZ-238	2024-02-06	yes	Culi	HDZ Keepers		HDZ-238-E1	2024-08-26	81	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6		PL014	rapid16s	2024-09-06	HDZ-238-S306	7	16S7		NA
HDZ-239	2024-02-05	yes	Warble	HDZ Keepers		HDZ-239-E1	2024-08-26	39	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6		PL014	rapid16s	2024-09-06	HDZ-239-S307	8	16S8		NA
HDZ-240	2024-01-20	yes	Culi	HDZ Keepers		HDZ-240-E1	2024-07-10	36	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		PL007	rapid16s	2024-07-22	HDZ-240-S140	2	16S2		NA
HDZ-241	2024-02-23	yes	Culi	HDZ Keepers		HDZ-241-E1	2024-07-10	53	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		PL007	rapid16s	2024-07-22	HDZ-241-S141	3	16S3		NA
HDZ-242	2024-02-23	yes	Warble	HDZ Keepers		HDZ-242-E1	2024-07-10	46	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		PL007	rapid16s	2024-07-22	HDZ-242-S142	4	16S4		NA
HDZ-243	2024-02-26	yes	Culi	HDZ Keepers		HDZ-243-E1	2024-07-10	100	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		PL007	rapid16s	2024-07-22	HDZ-243-S143	5	16S5		NA
HDZ-244	2024-02-27	yes	Warble	HDZ Keepers		HDZ-244-E1	2024-07-10	62	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		PL007	rapid16s	2024-07-22	HDZ-244-S144	6	16S6		NA
HDZ-245	2024-01-16	yes	Culi	HDZ Keepers		HDZ-245-E1	2024-07-10	42	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		PL007	rapid16s	2024-07-22	HDZ-245-S145	7	16S7		NA
HDZ-246	2024-01-18	yes	Warble	HDZ Keepers		HDZ-246-E1	2024-07-10	29	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		PL007	rapid16s	2024-07-22	HDZ-246-S146	8	16S8		NA
HDZ-247	2024-01-20	yes	Warble	HDZ Keepers		HDZ-247-E1	2024-07-10	39	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		PL007	rapid16s	2024-07-22	HDZ-247-S147	9	16S9		NA
HDZ-248	2024-01-21	yes	Warble	HDZ Keepers		HDZ-248-E1	2024-07-10	42	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		PL007	rapid16s	2024-07-22	HDZ-248-S148	10	16S10		NA
HDZ-249	2024-01-19	yes	Culi	HDZ Keepers		HDZ-249-E1	2024-07-10	34	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		PL007	rapid16s	2024-07-22	HDZ-249-S149	11	16S11		NA
HDZ-250	2024-01-21	yes	Culi	HDZ Keepers		HDZ-250-E1	2024-07-10	38	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		PL007	rapid16s	2024-07-22	HDZ-250-S150	12	16S12		NA
HDZ-251	2024-01-16	yes	Warble	HDZ Keepers		HDZ-251-E1	2024-07-10	45	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		PL007	rapid16s	2024-07-22	HDZ-251-S151	13	16S13		NA
HDZ-252	2024-01-18	yes	Culi	HDZ Keepers		HDZ-252-E1	2024-07-10	57	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		PL007	rapid16s	2024-07-22	HDZ-252-S152	14	16S14		NA
HDZ-253	2024-01-17	yes	Culi	HDZ Keepers		HDZ-253-E1	2024-07-10	32	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		PL007	rapid16s	2024-07-22	HDZ-253-S153	15	16S15		NA
HDZ-254	2024-02-02	yes	Culi	HDZ Keepers		HDZ-254-E1	2024-07-10	41	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		PL007	rapid16s	2024-07-22	HDZ-254-S154	16	16S16		NA
HDZ-258	2024-01-10	yes	Culi	HDZ Keepers		HDZ-258-E1	2024-07-12	37	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		PL008	rapid16s	2024-08-16	HDZ-258-S162	1	16S1		NA
HDZ-259	2024-01-13	yes	Warble	HDZ Keepers		HDZ-259-E1	2024-07-12	52	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		PL008	rapid16s	2024-08-16	HDZ-259-S163	2	16S2		NA
HDZ-260	2024-01-28	yes	Warble	HDZ Keepers		HDZ-260-E1	2024-07-12	15	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		PL008	rapid16s	2024-08-16	HDZ-260-S164	3	16S3		NA
HDZ-262	2024-01-24	yes	Culi	HDZ Keepers		HDZ-262-E1	2024-07-15	38	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		PL008	rapid16s	2024-08-16	HDZ-262-S165	4	16S4		NA
HDZ-263	2024-01-09	no	Culi	HDZ Keepers		HDZ-263-E1	2024-07-15	73	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		PL008	rapid16s	2024-08-16	HDZ-263-S166	5	16S5		NA
HDZ-264	2024-01-08	yes	Culi	HDZ Keepers		HDZ-264-E1	2024-07-15	45	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		PL008	rapid16s	2024-08-16	HDZ-264-S167	6	16S6		NA
HDZ-265	2024-01-23	yes	Warble	HDZ Keepers		HDZ-265-E1	2024-07-15	59	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		PL009	rapid16s	2024-08-16	HDZ-265-S205	21	16S21		NA
HDZ-266	2024-01-28	yes	Culi	HDZ Keepers		HDZ-266-E1	2024-07-15	40	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		PL012	rapid16s	2024-08-30	HDZ-266-S254	1	16S1		NA
HDZ-267	2024-01-22	yes	Warble	HDZ Keepers		HDZ-267-E1	2024-07-15	34	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		PL012	rapid16s	2024-08-30	HDZ-267-S255	2	16S2		NA
HDZ-268	2024-01-08	yes	Warble	HDZ Keepers		HDZ-268-E1	2024-08-26	50	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6		PL014	rapid16s	2024-09-06	HDZ-268-S308	9	16S9		NA
HDZ-269	2024-01-14	yes	Culi	HDZ Keepers		HDZ-269-E1	2024-08-26	1.8	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6		PL014	rapid16s	2024-09-06	HDZ-269-S309	10	16S10		NA
HDZ-270	2024-01-22	yes	Culi	HDZ Keepers		HDZ-270-E1	2024-08-26	53	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6		PL014	rapid16s	2024-09-06	HDZ-270-S310	11	16S11		NA
HDZ-271	2024-01-25	yes	Culi	HDZ Keepers		HDZ-271-E1	2024-08-26	51	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6		PL014	rapid16s	2024-09-06	HDZ-271-S311	12	16S12		NA
HDZ-272	2024-01-21	yes	Culi	HDZ Keepers		HDZ-272-E1	2024-08-26	39	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6		PL014	rapid16s	2024-09-06	HDZ-272-S312	13	16S13		NA
HDZ-273	2024-01-23	yes	Culi	HDZ Keepers		HDZ-273-E1	2024-08-26	24	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6		PL014	rapid16s	2024-09-06	HDZ-273-S313	14	16S14		NA
HDZ-274	2024-01-15	yes	Culi	HDZ Keepers		HDZ-274-E1	2024-08-26	40	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6		PL014	rapid16s	2024-09-06	HDZ-274-S314	15	16S15		NA
HDZ-301	2024-02-22	yes	Culi	HDZ Keepers		HDZ-301-E1	2024-06-14	9.2	SA/EK	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL005	rapid16s	2024-07-17	HDZ-301-S110	18	16S18	5.6	61
HDZ-302	2024-02-25	yes	Warble	HDZ Keepers		HDZ-302-E1	2024-06-14	18	SA/EK	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL005	rapid16s	2024-07-17	HDZ-302-S111	19	16S19	1.3	61
HDZ-303	2024-02-13	yes	Warble	HDZ Keepers		HDZ-303-E1	2024-06-14	16	SA/EK	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL005	rapid16s	2024-07-17	HDZ-303-S112	20	16S20	1.92	61
HDZ-304	2024-02-15	yes	Warble	HDZ Keepers		HDZ-304-E1	2024-06-14	1.3	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL005	rapid16s	2024-07-17	HDZ-304-S113	21	16S21	0.778	61
HDZ-305	2024-02-19	yes	Culi	HDZ Keepers		HDZ-305-E1	2024-06-14	40	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3		PL005	rapid16s	2024-07-17	HDZ-305-S114	22	16S22	1.27	61
