"FY"	"Category"	"Project"	"Purpose"	"Supply"	"Price"	"N"	"N_units"	"N_per_prep"	"Cost"	"Manuf"	"Cat"	"Name"	"Link"
26	"Equipment"	"General"	"DNA Sequencing"	"Portable Sequencer"	2999	1	NA	NA	2999	"ONT"	"MIN-101D"	"MinION Mk1d Sequencer"	"https://store.nanoporetech.com/us/minion.html"
26	"Equipment"	"General"	"Portable Lab"	"Portable Power Station"	2199	1	NA	NA	2199	"EcoFlow"	NA	"Delta Pro Portable Power Station"	"https://us.ecoflow.com/products/delta-pro-portable-power-station"
26	"Personnel"	"General"	"General"	"Lab Technician"	15	800	NA	NA	12000	NA	NA	NA	NA
26	"Personnel"	"General"	"General"	"Work Study Undergrad"	4	300	NA	NA	1200	NA	NA	NA	NA
26	"Travel"	"BIAZA Nocturnal Mammal Workshop"	"Conferences"	"Airport Transfer"	80	1	NA	NA	80	NA	NA	NA	"https://biaza.org.uk/"
26	"Travel"	"BIAZA Nocturnal Mammal Workshop"	"Conferences"	"Flight (OMA to LHR)"	900	1	NA	NA	900	NA	NA	NA	"https://biaza.org.uk/"
26	"Travel"	"BIAZA Nocturnal Mammal Workshop"	"Conferences"	"Lodging"	190	5	NA	NA	950	NA	NA	NA	"https://biaza.org.uk/"
26	"Travel"	"BIAZA Nocturnal Mammal Workshop"	"Conferences"	"Meals"	80	5	NA	NA	400	NA	NA	NA	"https://biaza.org.uk/"
26	"Travel"	"BIAZA Nocturnal Mammal Workshop"	"Conferences"	"Registration"	150	1	NA	NA	150	NA	NA	NA	"https://biaza.org.uk/"
26	"Travel"	"BIAZA Nocturnal Mammal Workshop"	"Conferences"	"Transportation"	20	5	NA	NA	100	NA	NA	NA	"https://biaza.org.uk/"
